"Obs","HHMMSS","FTime","Photo","!AdjPhoto","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","Status","PhiPS2","OxygenPress","comment"
1,"10:54:19","1040.500488","-5.454408388","-5.454408388","0.321820715","411.9501382","7.808471187","1.909573931","0.975000024","1","12.06775695","27.95348549","22.75322342","28.71814728","399.5829773","400.3403625","8.552065849","11.06395531","17.73444557","22.94335938","299.7355957","0.94226563","181.9416962","78.48056793",NA,NA,"0.75","111115","#DIV/0!",-9999,"18_ACi"
2,"11:02:18","1519.000488","-3.244547685","-3.244547685","0.316962771","64.86734464","8.397920012","2.081083775","0.975000024","1","12.06775695","25.75381088","23.96476746","25.39570808","49.7068367","50.62381744","8.86383152","11.56357193","20.91982651","27.29157448","299.780304","702.0705566","441.9161072","78.48422241",NA,NA,"0.25","111115","0.430290512",-9999,"18_ACi"
3,"11:04:50","1671.000488","0.832675471","0.832675471","0.323691949","90.90403319","8.413804406","2.043362385","0.975000024","1","12.06775695","25.67354584","23.72594452","25.59708786","99.69970703","99.15747833","8.796129227","11.50148201","20.85853004","27.27381516","299.7430725","701.8363037","963.7612305","78.48212433",NA,NA,"0.5","111115","0.456947447",-9999,"18_ACi"
4,"11:07:22","1823.000488","8.569483267","8.569483267","0.329423735","147.3662165","8.670641718","2.069155912","0.975000024","1","12.06775695","26.50487328","23.98960686","26.56937027","200.7341156","197.389801","8.985319138","11.77260017","20.28527069","26.57784081","299.7312317","701.592041","960.7825317","78.4830246",NA,NA,"0.75","111115","0.48897683",-9999,"18_ACi"
5,"11:10:02","1983.000488","15.67865311","15.67865311","0.342158911","208.0807795","9.02254854","2.076000333","0.975000024","1","12.06775695","25.25052071","23.82253838","24.81274223","299.9895935","294.0264587","8.402647018","11.30445004","20.43255234","27.48880959","299.7288208","701.2195435","991.6181641","78.48199463",NA,NA,"0.25","111115","0.520504174",-9999,"18_ACi"
6,"11:12:35","2136.000488","26.57826216","26.57826216","0.350512079","347.7314924","9.404683496","2.113739194","0.975000024","1","12.06775695","26.00237083","23.94935989","25.7899456","500.6578674","490.5123291","8.087189674","11.11223412","18.8079567","25.84314728","299.7533569","700.9161987","1025.45752","78.48438263",NA,NA,"0.5","111115","0.540655698",-9999,"18_ACi"
7,"11:15:32","2313.000488","30.0547118","30.0547118","0.354067891","428.4401216","9.364599521","2.084168694","0.975000024","1","12.06775695","25.59438515","23.89226723","25.20140839","601.3239746","589.7515869","8.346674919","11.35812569","19.88744354","27.06276512","299.7485352","701.0700073","1062.324829","78.48817444",NA,NA,"0.75","111115","0.559026137",-9999,"18_ACi"
8,"11:18:09","2470.000488","35.33486947","35.33486947","0.347591382","588.581862","9.282715971","2.102774843","0.975000024","1","12.06775695","25.90709496","24.09129524","25.59403992","799.1849976","785.3203125","8.591751099","11.57621384","20.09686852","27.07779312","299.748291","700.8279419","404.5990906","78.49404144",NA,NA,"0.5","111115","0.563191144",-9999,"18_ACi"
9,"11:20:49","2630.000488","38.61095129","38.61095129","0.343829814","763.3321074","8.997085846","2.060035618","0.975000024","1","12.06775695","25.13397217","23.92493057","24.61395836","1000.319397","984.8796997","8.847056389","11.73890018","21.6669426","28.74923134","299.7804871","700.6268311","405.1248779","78.49626923",NA,NA,"0.5","111115","0.567407345",-9999,"18_ACi"
10,"11:23:28","2789.000488","41.17752957","41.17752957","0.332001072","982.1734023","8.734560287","2.068757919","0.975000024","1","12.06775695","25.53926849","24.05782127","25.20103264","1249.91272","1233.014893","9.124433517","11.93177509","21.8149128","28.52676964","299.7349243","700.5565186","408.0091858","78.49920654",NA,NA,"0.5","111115","0.564527134",-9999,"18_ACi"
11,"11:26:53","2994.000488","42.93737824","42.93737824","0.327367164","1209.790877","8.568961596","2.058329197","0.975000024","1","12.06775695","25.13176346","23.86410713","24.80356216","1500.300049","1482.201416","8.866345406","11.62135696","21.71825409","28.4666996","299.7317505","700.631958","404.8564758","78.50065613",NA,NA,"0.25","111115","0.568369149",-9999,"18_ACi"
12,"11:29:38","3159.000488","47.81318259","47.81318259","0.31950868","1656.09444","8.320730163","2.046221455","0.975000024","1","12.06775695","25.01659203","23.90416145","24.60919952","1999.298828","1978.392822","9.192486763","11.86676693","22.67232704","29.26816368","299.7606812","700.2246704","416.4586487","78.50109863",NA,NA,"0.5","111115","0.563096998",-9999,"18_ACi"
13,"11:43:05","3969.000488","7673.632537","7673.632537","-0.462047889","25514.39891","-18.95939637","3.025944567","0.560000002","1","13.19252338","25.18987274","27.06149864","25.0135231","2000.797119","569.2468262","10.72875214","7.212356567","26.18894386","17.60540199","299.7582703","684.6599731","583.039917","78.49907684",NA,NA,"0","111115","0.563096998",-9999,"18_ACi"
14,"11:48:38","4299.500488","-2.895383928","-2.895383928","0.131571749","1935.156388","4.092540565","2.397165915","0.560000002","1","13.19252338","25.59500313","26.10571098","25.35341263","1999.350586","1998.363525","11.96129894","12.71621418","28.50416183","30.30314827","299.7262878","1.08508718","296.0524597","78.50270081",NA,NA,"0.75","111115","#DIV/0!",-9999,"1_ACi"
15,"11:57:18","4819.000488","-8.366430659","-8.366430659","0.140921369","142.4649031","4.736930112","2.588651916","0.560000002","1","13.19252338","25.94061852","27.09858704","25.64139175","50.36185455","51.87881851","12.00867176","12.88214302","28.03678703","30.07609367","299.7818909","701.7329712","682.567749","78.50281525",NA,NA,"0.5","111135","0.367394025",-9999,"1_ACi"
16,"12:02:50","5151.500488","-16.00017567","-16.00017567","0.148955422","215.9181221","5.156235791","2.664869513","0.560000002","1","13.19252338","26.44347954","27.61016083","26.16427231","46.88013458","49.82138062","12.3560009","13.30649853","28.0026207","30.15674973","299.7450562","701.3922119","782.0053711","78.50132751",NA,NA,"0.75","111135","0.389375498",-9999,"1_ACi"
17,"12:05:22","5303.500488","0.097991626","0.097991626","0.147383021","188.6206232","5.248962339","2.739991592","0.560000002","1","13.19252338","26.76521683","27.96228409","26.47844505","201.1140594","200.8987732","12.36370277","13.33113289","27.49404907","29.64539146","299.7873535","700.7623901","790.2192383","78.50138092",NA,NA,"0.75","111115","0.429922902",-9999,"1_ACi"
18,"12:07:54","5455.500488","3.767766688","3.767766688","0.143698165","240.7522745","5.280464076","2.825039713","0.560000002","1","13.19252338","27.09904099","28.29361153","26.81088066","300.1132507","299.1143188","12.21473026","13.18817997","26.63387108","28.75644875","299.7650146","700.0266724","791.3826294","78.49768066",NA,NA,"0.5","111115","0.466166705",-9999,"1_ACi"
19,"12:10:32","5613.500488","8.959382094","8.959382094","0.137262899","366.5658542","5.186586851","2.902009503","0.560000002","1","13.19252338","27.43193817","28.64310455","27.14868355","500.4645386","498.3078308","12.25987053","13.21605682","26.21623039","28.26091766","299.7431335","700.1821899","773.4996338","78.49920654",NA,NA,"0.5","111115","0.486479769",-9999,"1_ACi"
20,"12:13:10","5771.500488","11.94696161","11.94696161","0.132866997","420.8175227","5.138910295","2.967865975","0.560000002","1","13.19252338","27.72998047","28.90028954","27.45987511","600.5169678","597.7116699","12.18609238","13.13337708","25.60327148","27.59354019","299.8037109","699.8214722","615.8379517","78.48402405",NA,NA,"0.75","111115","0.520283185",-9999,"1_ACi"
21,"12:15:49","5930.000488","16.88538193","16.88538193","0.126150174","539.3232818","4.90112574","2.980206598","0.560000002","1","13.19252338","27.82276154","28.87051392","27.56078339","801.0010376","797.1173706","11.98491955","12.88857841","25.04412079","26.9324379","299.8096008","700.4766846","447.6218567","78.48268127",NA,NA,"0.5","111115","0.535444295",-9999,"1_ACi"
22,"12:18:23","6084.000488","19.48186152","19.48186152","0.11970886","680.700174","4.638487163","2.971304314","0.560000002","1","13.19252338","27.7979641","28.78510475","27.54595184","999.9777832","995.475769","11.89599419","12.75146294","24.89328766","26.68342209","299.7690125","701.0632935","378.0663757","78.47946167",NA,NA,"0.5","111115","0.544709386",-9999,"1_ACi"
23,"12:20:54","6235.000488","24.19784826","24.19784826","0.113260135","836.7784948","4.363020407","2.953552737","0.560000002","1","13.19252338","27.68440247","28.63528442","27.44049835","1251.316284","1245.780273","11.73490429","12.53977299","24.71974564","26.41521263","299.7573547","701.1610107","382.9125366","78.47986603",NA,NA,"0.75","111115","0.54622336",-9999,"1_ACi"
24,"12:23:45","6406.000488","28.09311116","28.09311116","0.107196936","993.7696285","4.128911137","2.952828233","0.560000002","1","13.19252338","27.52044106","28.51473808","27.27351761","1499.563354","1493.163818","11.43742657","12.19930935","24.32484627","25.94519997","299.7814331","701.3365479","383.1759033","78.47875214",NA,NA,"0.75","111115","0.553733146",-9999,"1_ACi"
25,"12:26:24","6565.500488","35.4800802","35.4800802","0.102976388","1333.052842","3.980305365","2.963410909","0.560000002","1","13.19252338","27.37532234","28.42344284","27.12633514","1999.608765","1991.499756","11.06563759","11.80043983","23.73583794","25.31199074","299.7633972","701.3443604","404.2250061","78.48184204",NA,NA,"0.5","111115","0.551523243",-9999,"1_ACi"
26,"12:35:55","7136.500488","-9.571467295","-9.571467295","0.165046522","1982.023409","5.751112044","2.689339256","0.455000013","1","13.47710279","26.87741852","27.05477905","26.68612862","2000.73645","2000.442993","10.62049961","11.48343849","23.45926857","25.36538506","299.7554932","1.144833565","1074.649902","78.49146271",NA,NA,"0.5","111115","#DIV/0!",-9999,"24_ACi"
27,"12:44:47","7668.000488","-11.5988457","-11.5988457","0.123855313","195.0901338","4.657173895","2.891697585","0.455000013","1","13.47710279","26.52776337","27.80681801","26.24787521","49.82750702","51.55140686","10.26285744","10.96192074","23.14599991","24.72261047","299.7991333","701.6776123","1076.567627","78.50946808",NA,NA,"0.75","111115","0.400668204",-9999,"24_ACi"
28,"12:47:35","7836.000488","-6.288793322","-6.288793322","0.14022949","165.3528283","5.3414673","2.932153372","0.455000013","1","13.47710279","26.56969452","27.99098396","26.24905205","100.28022","101.1527481","10.1607151","10.96257591","22.85977554","24.66381836","299.7683105","701.3283081","390.9838257","78.51185608",NA,NA,"0.5","111115","0.42413791",-9999,"24_ACi"
29,"12:50:07","7988.500488","1.786407107","1.786407107","0.159749295","170.4660606","6.135319353","2.959997826","0.455000013","1","13.47710279","26.67509079","28.14176369","26.33124542","200.4964294","200.0389709","10.11277866","11.03379822","22.61198997","24.67137337","299.7513733","700.7720947","556.3686523","78.5148468",NA,NA,"0.25","111115","0.475391441",-9999,"24_ACi"
30,"12:53:30","8191.500488","10.71876221","10.71876221","0.187751178","190.357376","7.224473613","2.970577138","0.455000013","1","13.47710279","26.8697052","28.22555923","26.51557159","299.9577332","298.0040283","10.05528069","11.13961887","22.22299194","24.61946678","299.7697754","700.9480591","374.3025513","78.49903107",NA,NA,"0.25","111115","0.525390708",-9999,"24_ACi"
31,"12:56:47","8388.5","24.71541897","24.71541897","0.214600078","285.3010948","8.127325718","2.930122302","0.455000013","1","13.47710279","26.92152023","28.05507469","26.62096977","500.4450073","496.0817566","9.951366425","11.17115021","21.92629814","24.61390305","299.7763367","701.2904053","1108.609619","78.49848938",NA,NA,"0.5","111115","0.587063011",-9999,"24_ACi"
32,"12:59:25","8546.5","30.47225088","30.47225088","0.229071489","350.4692556","8.532961002","2.885987599","0.455000013","1","13.47710279","26.85967445","27.8383007","26.584095","600.3877563","594.9919434","9.843558311","11.12431717","21.76736832","24.59955025","299.768158","701.600708","1122.03064","78.49710846",NA,NA,"0.5","111115","0.605152068",-9999,"24_ACi"
33,"13:02:31","8732.5","40.56608145","40.56608145","0.239565511","478.1508688","8.857006006","2.867025103","0.455000013","1","13.47710279","26.82663727","27.72710037","26.56485176","798.5457153","791.3242188","9.726723671","11.0562849","21.55015945","24.49588776","299.7516479","701.2937012","1119.976929","78.49466705",NA,NA,"0.5","111115","0.621974369",-9999,"24_ACi"
34,"13:05:13","8894.5","47.42659424","47.42659424","0.238476876","620.680155","8.835727913","2.873051291","0.455000013","1","13.47710279","26.85013199","27.71914101","26.58712006","1000.759766","992.2297974","9.631210327","10.95774078","21.30841255","24.24327278","299.7445984","701.394104","1142.819824","78.4921875",NA,NA,"0.75","111115","0.62563463",-9999,"24_ACi"
35,"13:07:46","9047.5","55.00913306","55.00913306","0.227243431","786.8836402","8.468805836","2.888291439","0.455000013","1","13.47710279","26.8749752","27.71545792","26.60276413","1251.071289","1241.125854","9.479969025","10.75164795","20.94649696","23.75634003","299.7515564","698.2727051","1160.170044","78.5045929",NA,NA,"0.75","111115","0.625497502",-9999,"24_ACi"
36,"13:11:17","9258","58.77662241","58.77662241","0.206436039","955.1272433","7.622999923","2.85935788","0.455000013","1","13.47710279","26.69188499","27.39741516","26.47496033","1500.475098","1489.829956","9.099511147","10.2447052","20.32214546","22.87973595","299.7685547","699.0101318","1152.834839","78.49904633",NA,NA,"0.25","111115","0.626976569",-9999,"24_ACi"
37,"13:14:33","9454.5","66.28322646","66.28322646","0.192773938","1331.227175","7.22290543","2.89893841","0.455000013","1","13.47710279","26.63744926","27.42315483","26.40881538","2001.085327","1988.844482","8.725343704","9.810882568","19.54906273","21.98120499","299.7754822","698.0606079","1143.312622","78.49902344",NA,NA,"0.75","111115","0.626732058",-9999,"24_ACi"
1,"11:02:02","704.499997","12.09588564","12.09588564","0.100997466","188.4383043","3.218693964","2.454858373","0.79400003","1","12.55831769","25.99790001","25.79907608","25.94776154","399.9223328","396.3937683","10.36072922","11.20057106","24.11330605","26.06793404","300.8921814","701.8907471","292.841217","78.52189636",NA,NA,"0.5","111115","#DIV/0!",-9999,"19_ACi"
2,"11:10:30","1211.499989","-4.919789625","-4.919789625","0.1025691","456.2063092","3.268775827","2.454960844","0.79400003","1","12.55831769","26.52692032","25.84611511","26.47861671","399.9780273","400.9303284","10.46463394","11.31734276","23.60765839","25.5309906","300.9274597","1.32425344","306.4558411","78.52496338",NA,NA,"0.75","111115","#DIV/0!",-9999,"13_ACi"
3,"11:20:41","1815.499947","-3.618020018","-3.618020018","0.137012177","89.53656769","4.694965151","2.643963772","0.79400003","1","12.55831769","27.04860878","26.79021263","26.98595238","49.88188553","50.7736969","10.12410164","11.34893799","22.1535244","24.83228683","300.8970032","699.892395","311.9415894","78.53883362",NA,NA,"0.75","111115","0.453022164",-9999,"13_ACi"
4,"11:25:51","2125.999926","1.34921662","1.34921662","0.176515053","82.0441542","6.158720615","2.698795093","0.79400003","1","12.55831769","27.42134285","27.15500259","27.34292603","100.0687332","99.55093384","10.01935673","11.62556934","21.45085335","24.88790512","300.9050598","698.6222534","317.8298035","78.5404892",NA,NA,"0.75","111115","0.480893952",-9999,"13_ACi"
5,"11:31:01","2436.499904","10.14626252","10.14626252","0.225049265","114.805908","8.028119866","2.767154526","0.79400003","1","12.55831769","27.96302032","27.63413811","27.83239174","200.1802368","197.0855713","9.971737862","12.0644722","20.68264771","25.02130318","300.9184875","699.6099854","324.3264465","78.53605652",NA,NA,"0.75","111115","0.53725214",-9999,"13_ACi"
6,"11:36:11","2746.999883","17.98285347","17.98285347","0.258578938","167.71768","9.313789524","2.799976831","0.79400003","1","12.55831769","28.40975189","27.8783474","28.29177094","299.9741821","294.505249","9.898712158","12.32605457","20.0041008","24.90902519","300.9050598","701.9155273","337.138855","78.53553009",NA,NA,"0.75","111115","0.582906963",-9999,"13_ACi"
7,"11:41:21","3057.499861","23.96637642","23.96637642","0.245699373","215.6773684","9.088464539","2.871705214","0.79400003","1","12.55831769","28.78883934","28.15811729","28.69975471","399.9308472","392.6652222","9.832176208","12.20106888","19.43766022","24.12116623","300.9083252","701.3851318","333.7602844","78.53862",NA,NA,"0.75","111115","0.607505737",-9999,"13_ACi"
8,"11:46:31","3367.99984","27.0391876","27.0391876","0.228565697","275.7121246","8.723846334","2.957862503","0.79400003","1","12.55831769","29.14571953","28.51203537","29.05270386","500.0061035","491.7396545","9.843645096","12.11761665","19.06296349","23.466959","300.918396","701.0133667","354.7340393","78.54173279",NA,NA,"0.75","111115","0.615859548",-9999,"13_ACi"
9,"11:51:41","3678.499819","28.73769709","28.73769709","0.202130465","331.5614552","7.834931586","2.997202406","0.79400003","1","12.55831769","29.36813164","28.64258575","29.30472183","599.9868774","591.1829834","9.953418732","11.99571228","19.02842331","22.93335152","300.951416","700.9735718","344.3591309","78.53960419",NA,NA,"1","111115","0.632421029",-9999,"13_ACi"
10,"11:56:51","3988.999797","31.75707335","31.75707335","0.178688581","463.148021","6.919408939","2.988739421","0.79400003","1","12.55831769","29.31615639","28.61611366","29.2752037","800.0933228","790.2715454","10.22300434","12.02671242","19.60126114","23.0606041","300.9320679","701.1577759","357.2789612","78.5381012",NA,NA,"1","111115","0.628590204",-9999,"13_ACi"
11,"12:02:01","4299.499776","31.56415974","31.56415974","0.156547144","613.2657075","6.112033068","3.007365863","0.79400003","1","12.55831769","29.3692627","28.7356987","29.33799171","999.8463135","989.9213257","10.54530811","12.13845348","20.15703964","23.20290947","300.9171143","700.8900146","411.8161011","78.53610229",NA,NA,"0.75","111115","0.630306687",-9999,"13_ACi"
12,"12:07:11","4609.999754","30.96414735","30.96414735","0.135889462","806.0463424","5.429897768","3.071318536","0.79400003","1","12.55831769","29.51406097","29.0457077","29.45171738","1249.96228","1240.016235","10.82246208","12.23755264","20.51523972","23.19849968","300.9403687","700.3285522","433.9170837","78.5372467",NA,NA,"1","111115","0.629544415",-9999,"13_ACi"
13,"12:12:21","4920.999733","25.72431372","25.72431372","0.114562074","1047.956811","4.559707366","3.053963654","0.79400003","1","12.55831769","29.48713112","28.96214867","29.43655014","1500.107666","1491.525879","11.02473736","12.21312332","20.92700768","23.18369293","300.9284363","701.2786865","503.6669617","78.52280426",NA,NA,"0.75","111115","0.643346026",-9999,"13_ACi"
14,"12:17:31","5231.499712","14.22820237","14.22820237","0.093742445","1635.460511","3.675944185","3.005233648","0.79400003","1","12.55831769","29.2580204","28.69390106","29.227314","2000.149658","1994.460815","11.08789158","12.04615784","21.3262291","23.16998291","300.912262","702.180542","647.1342773","78.51889038",NA,NA,"0.75","111115","0.640367171",-9999,"13_ACi"
